"log2(ratio)"	"p-value"	"SD test"	"SD ref"
"glycerol"	-2.06063112950838	0.000347712104853544	0.00481985515484618	0.0192889505665493
"glycerol-alpha-phosphate"	0.201054468288929	0.544548655982989	0.00674704781594541	0.0267917098521131
"glycerol-beta-phosphate RI 571748"	0.382945339083404	0.468240646724384	0.0175019111972455	0.0151897980941368
"glycine"	0.958681839681402	0.628726507809484	0.086090163559081	0.0527193810650448
"heptadecanoyl-1-glyceride"	0.634709564609605	0.00436092015262185	0.00398931682235453	0.0158431379416589
"homocystine"	0.634831316163826	0.44151336255203	0.0216425466056727	0.0173727483439831
"homoserine"	0.0139790436662713	0.980069266907593	0.00930284126355369	0.0129345748324311
"homoserine minor"	-0.993378336079112	0.00702663795217389	0.00147739332114502	0.0205611245510579
"hydroxylamine"	0.247898814462967	0.0127455641675611	0.00168602457344336	0.00794372518945438
"isoleucine"	-0.0229416481455448	0.978964358130726	0.0282780345282557	0.0283947783489754
"isoleucine minor"	-0.691818878053825	0.342177447311467	0.0116827923270037	0.0297124220041866
"lactic acid"	-2.93691569016773	0.0194449167170788	0.00196185971319482	0.0495742757815734
"lauric acid"	-1.54619886834781	0.105594958019412	0.00692612274983197	0.0527525481662259
"leucine"	0.690397285115693	0.547592875311934	0.0444488714918495	0.0311264205042072
"levoglucosan"	-2.46705040995738	0.000102289913075365	0.000656606840590308	0.0266301649573542
"maleic acid"	-1.54583817576713	0.120347915226303	0.00557717172857243	0.0218927754629856
"malic acid"	-6.33848832896926	0.0425948844986424	0.000136182815874595	0.0798186004311376
"mannose-6-phosphate NIST"	-0.859257323946693	0.364003033935492	0.0186695855359539	0.0578453554487871
"methionine"	-0.612158612075929	0.128022192516999	0.00289600450975022	0.025658134437563
"methylhexadecanoic acid"	0.246252532781369	0.718561893275138	0.0181517381413453	0.0114359472673261
"monomyristin NIST"	-0.226424102430326	0.584339283908649	0.0112823593846883	0.00939148581662737
"myristic acid"	-0.698582774492224	0.501602139918151	0.0243546577703576	0.0411329933083952
"N-acetylaspartic acid 2"	-3.72759639681744	0.148451702702865	0.00185171117475129	0.0888769891577016
"N-acetyl-D-hexosamine"	-2.76956088006804	0.0656066696370093	0.00251550378161595	0.0561087628113679
"N-butylamine NIST"	-2.45275071233734	0.00529426930479957	0.00194738120592861	0.0405167337184259
"N-carbamoylaspartate"	-7.49881917700812	0.0304901352239149	1.3320757294355e-05	0.0683902188026731
"nicotinamide"	-0.239443942965962	0.721194333252124	0.019124579435336	0.0314091654208621
"N-methylalanine"	-0.56544368095164	0.276849939519673	0.0106959658281146	0.0315224069313756
"O-acetylserine"	-5.8385235164399	0.00170009711801358	0.000205385517440881	0.0387207543303529
"ornithine 3TMS minor"	-0.283802720997564	0.542277733797144	0.00595166246655171	0.0305436657155353
"orotic acid"	-3.79524507175248	0.00984977221459018	0.00237112333900265	0.051046295446864
"oxalic acid"	-0.422895470720246	0.536046980430183	0.0169415958679612	0.0246333494447797
"oxoproline"	-2.14421711310349	0.155240574320044	0.0040870203257692	0.0798922450006063
"palmitic acid"	0.239285164251261	0.659932066470075	0.0132403978415392	0.0171099104223845
"palmitoleic acid"	-1.0849958655715	0.175679190017342	0.0152771111905426	0.0253611808622271
"pelargonic acid"	-2.42358021078242	0.0234949962352956	0.00391161983353798	0.0412466884233349
"phenylalanine"	-0.564609807875178	0.461274556966277	0.0173696364830264	0.0271173868100614
"phenylalanine TMS1x"	-3.15903116533554	0.0335301919459199	0.0030331342685652	0.0552771489504717
"phenylpyruvic acid"	1.41427132744253	0.426671935946154	0.0754680845790009	0.031561133241677
"phosphoethanolamine"	-2.25554072708251	0.0233446542571252	0.00391238487476641	0.0466867873303209
"phosphoric acid"	-0.0115939308142965	0.975878616835643	0.0101369418270666	0.017997339577145
"proline"	-0.302472414352978	0.661178830157753	0.0181592886439549	0.0255715336200116
"pseudo uridine"	-1.03282992247618	0.023081492261333	0.00580115789771948	0.0260854836386781
"putrescine"	-0.311343649059621	0.762955873277213	0.0285596304818735	0.0336956774452532
"putrescine 3TMS"	-0.330237198300903	0.640459796636999	0.0197741139490377	0.015927070119415
"putrescine CO2 adduct"	-1.29273394318887	0.2140316830107	0.0173800580347745	0.0155147769988242
"pyrazine 2,5-dihydroxy  NIST"	0.441878168065327	0.661523587846305	0.0358627924988029	0.0261422246494806
"pyrophosphate 1"	0.302707907078638	0.369771266746302	0.00596470101551211	0.0291102445517729
"rhamnose 1"	-3.05384342449762	0.0710260551212667	0.00169926823306305	0.069049238919501
"serine"	1.24259507241727	0.352517193805427	0.0559320075913761	0.0402429439611838
"sorbose meox2"	-2.14601381967953	0.028881904494841	0.0101827023111893	0.0374500756864182
"stearic acid"	0.80541625867406	0.316871970670792	0.0180494837798936	0.00956443067866181
"succinic acid"	-3.21788656243318	0.0191188119679269	0.00245608974381594	0.0492008471122219
"threitol 2"	-1.31212840692351	0.0795187503529417	0.0100352627294675	0.0318904959498364
"threonine"	-0.890897891827035	0.256336978458814	0.0139330484409913	0.0312520974779627
"threonine 2TMS"	-2.06499554069681	0.00145951002071193	0.00396136747321252	0.0224986468036273
"thymine"	-0.868054650372471	0.171445212915618	0.0079053695021144	0.0421099535644116
"triethylamine, 2-chloro-2'-(trimethyl)silyloxy-"	0.475357227387326	0.452886656944646	0.0186608374308013	0.0280594743499814
"tryosine"	-0.588058033954553	0.446079322385527	0.0153886760681664	0.0270070100191782
"tyrosine"	-1.05907938707142	0.19243885489724	0.0124135378157725	0.0330092936203072
"urea"	0.348908268551929	0.795663917937281	0.0423272868551424	0.0531166491342203
"valine"	-1.23857639785594	0.0889759961138436	0.0109299228605156	0.0258994817213245
"valine TMS1x poor spec quality"	-1.75059744063112	0.0300058803195496	0.00463064035787205	0.0317107990206561
"xanthine"	0.899999222342857	0.505635491558951	0.0554484957635158	0.0422644329010618
"xylose 2"	-3.63110613328122	0.00341923526322686	0.00146402487773441	0.0412976532010083
