Vimss ID	Upstream	Synonymous	Nonsynonymous	Downstream	EC numbers	Names of metabolites	Log2 ratio	p-value	SD test	SD ref	TF binding sites	Sigma sites	Ortholog	Max ratio	Gene name	Annotation	Direction of reaction	Nonsynonymous mutation	Identity of BLAST match	Vimss ID	Upstream	Synonymous	Nonsynonymous	Downstream	EC numbers	Names of metabolites	Log2 ratio	p-value	SD test	SD ref	TF binding sites	Sigma sites	Ortholog	Max ratio	Gene name	Annotation	Direction of reaction	Nonsynonymous mutation		
15228	0	2	2	0	3.2.1.21	cellobiose	0.484581333	0.556729652	0.005671822	0.002426617			3473177	0.484581333	ycfN	Predicted choline kinase involved in LPS biosynthesis	reactant	"F 22 -> Y 22 ,  L 211 -> R 211"		3473177	0	2	2	0								 Sigma70	15228		thiK	Predicted choline kinase involved in LPS biosynthesis	0	"Y 22 -> F 22 ,  R 211 -> L 211"		
16240	0	14	0	2	3.2.1.21	cellobiose	0.484581333	0.556729652	0.005671822	0.002426617		 Sigma70	3474210	0.484581333	bglX	Beta-glucosidase-related glycosidases	reactant	0		3474210	0	14	0	2	3.2.1.21	cellobiose	-0.484581333	0.556729652	0.002426617	0.005671822		 Sigma70	16240	-0.484581333	bglX	Beta-glucosidase-related glycosidases	reactant			
17592	 	 	 	 	3.2.1.4	cellobiose	0.484581333	0.556729652	0.005671822	0.002426617	 FNR	Sigma70	no ortholog	0.484581333	bcsZ	Endoglucanase Y	product	 	no hit		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
17085	1	12	2	0	4.4.1.8	cystathionine 4TMS NIST	-0.015669456	0.943791871	0.001873318	0.00431835	 MetJ	 Sigma70	3475137	-0.015669456	metC	Cystathionine beta-lyases/cystathionine gamma-synthases	reactant	"A 81 -> V 81 ,  S 320 -> N 320"		3475137	1	12	2	0	4.4.1.8	cystathionine 4TMS NIST	0.015669456	0.943791871	0.00431835	0.001873318	 MetJ	 Sigma70	17085	0.015669456	metC	Cystathionine beta-lyases/cystathionine gamma-synthases	reactant	"V 81 -> A 81 ,  N 320 -> S 320"		
17978	0	15	0	0	2.5.1.48	cystathionine 4TMS NIST	-0.015669456	0.943791871	0.001873318	0.00431835	 MetJ PhoP YjiE	 Sigma70	3476125	-0.015669456	metB	Cystathionine beta-lyases/cystathionine gamma-synthases	product	0		3476125	0	15	0	0	2.5.1.48	cystathionine 4TMS NIST	0.015669456	0.943791871	0.00431835	0.001873318	 MetJ PhoP YjiE	 Sigma70	17978	0.015669456	metB	Cystathionine beta-lyases/cystathionine gamma-synthases	product			
15056	0	10	0	0	3.4.11.2	cysteine-glycine	-0.208870366	0.852591686	0.048144639	0.051701971			3472990	-0.208870366	pepN	Aminopeptidase N	reactant	0		3472990	0	10	0	0	3.4.11.2	cysteine-glycine	0.208870366	0.852591686	0.051701971	0.048144639			15056	0.208870366	pepN	Aminopeptidase N	reactant			
17508	0	14	0	0	2.3.2.2	cysteine-glycine	-0.208870366	0.852591686	0.048144639	0.051701971			3475600	-0.208870366	ggt	Gamma-glutamyltransferase	product	0		3475600	0	14	0	0	2.3.2.2	cysteine-glycine	0.208870366	0.852591686	0.051701971	0.048144639			17508	0.208870366	ggt	Gamma-glutamyltransferase	product			
18285	0	15	0	11	3.4.11.1	cysteine-glycine	-0.208870366	0.852591686	0.048144639	0.051701971	 PepA	 Sigma70	3476468	-0.208870366	pepA	Leucyl aminopeptidase	reactant	0		3476468	0	15	0	26	3.4.11.1	cysteine-glycine	0.208870366	0.852591686	0.051701971	0.048144639	 PepA	 Sigma70	18285	0.208870366	pepA	Leucyl aminopeptidase	reactant			
15206	0	47	1	0	3.1.4.-	phosphoethanolamine	0.762677676	0.326820746	0.005775299	0.003912385		 Sigma70	3473154	0.762677676	rne	Ribonucleases G and E	product	A 749 -> V 749		3473154	0	47	1	0	3.1.4.-	phosphoethanolamine	-0.762677676	0.326820746	0.003912385	0.005775299		 Sigma70	15206	-0.762677676	rne	Ribonucleases G and E	product	V 749 -> A 749		
16539	0	14	0	0	4.3.1.7	ethanolamine	0.265699107	0.549770924	0.012525729	0.001578095			3474519	0.265699107	eutC	"Ethanolamine ammonia-lyase, small subunit"	reactant	0		3474519	0	14	0	0	4.3.1.7	ethanolamine	-0.265699107	0.549770924	0.001578095	0.012525729			16539	-0.265699107	eutC	"Ethanolamine ammonia-lyase, small subunit"	reactant			
16540	0	26	0	1	4.3.1.7	ethanolamine	0.265699107	0.549770924	0.012525729	0.001578095			no ortholog	0.265699107	eutB	"Ethanolamine ammonia-lyase, large subunit"	reactant	0		3474520	0	26	0	1	4.3.1.7	ethanolamine	-0.265699107	0.549770924	0.001578095	0.012525729			no ortholog	-0.265699107	eutB	"Ethanolamine ammonia-lyase, large subunit"	reactant			
17510	0	15	6	0	3.1.4.46	ethanolamine	0.265699107	0.549770924	0.012525729	0.001578095	 CRP PhoB PhoB	 Sigma24 Sigma70	3475602	0.265699107	ugpQ	Glycerophosphoryl diester phosphodiesterase	product	"V 198 -> A 198 ,  V 160 -> A 160 ,  Q 135 -> E 135 ,  I 119 -> T 119 ,  I 119 -> T 119 ,  A 88 -> M 88"		3475602	0	15	6	0	3.1.4.46	ethanolamine	-0.265699107	0.549770924	0.001578095	0.012525729			17510	-0.265699107	EcHS_A3646	Glycerophosphoryl diester phosphodiesterase	product	"A 198 -> V 198 ,  A 160 -> V 160 ,  E 135 -> Q 135 ,  T 119 -> I 119 ,  T 119 -> I 119 ,  M 88 -> A 88"		
18221	1	24	1	0	4.1.2.-	phosphoethanolamine	0.762677676	0.326820746	0.005775299	0.003912385	 CRP IHF UlaR	 Sigma70	3476392	0.762677676	ulaD	3-hexulose-6-phosphate synthase and related proteins	product	Q 131 -> G 131		3476392	1	24	1	0									18221		EcHS_A4440	3-hexulose-6-phosphate synthase and related proteins	0	G 131 -> Q 131		
17006	0	0	0	0	1.2.1.12	phosphoric acid	0.87362851	0.498299186	0.042493105	0.034073765	 CRP Cra	Sigma38 Sigma70	3475035	0.87362851	epd	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	 	 	 	3475035	0	0	0	0	1.2.1.-	GABA	-0.87362851	0.498299186	0.034073765	0.042493105	 CRP Cra	Sigma70	17006	-0.87362851	epd	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	product			
17498	0	0	0	0	2.7.1.12	gluconic acid	3.548746409	0.374900305	0.001980261	0.000109378	 CRP GntR IdnR	Sigma70	3475591	3.548746409	gntK	Gluconate kinase	reactant	 	 	3475591	0	0	0	0	2.7.1.12	gluconic acid	-3.548746409	0.374900305	0.000109378	0.001980261	 CRP GntR IdnR		17498	-3.548746409	gntK	Gluconate kinase	reactant			
17613	0	2	1	0	1.1.1.215	gluconic acid	3.548746409	0.374900305	0.001980261	0.000109378			3475710	3.548746409	yiaE	Lactate dehydrogenase and related dehydrogenases	reactant	G 129 -> E 129		3475710	0	2	1	0	1.1.1.215	gluconic acid	-3.548746409	0.374900305	0.000109378	0.001980261			17613	-3.548746409	tkrA	Lactate dehydrogenase and related dehydrogenases	reactant	E 129 -> G 129		
18293	3	2	1	0	2.7.1.12	gluconic acid	3.548746409	0.374900305	0.001980261	0.000109378	 CRP GntR IdnR	 Sigma70	3476476	3.548746409	idnK	Gluconate kinase	reactant	H 88 -> Q 88		3476476	3	2	1	0	2.7.1.12	gluconic acid	-3.548746409	0.374900305	0.000109378	0.001980261	 CRP GntR IdnR	 Sigma70	18293	-3.548746409	idnK	Gluconate kinase	reactant	Q 88 -> H 88		
15155	5	3	1	0	"1.1.1.81,1.1.1.95"	"glyceric acid , 3-phosphoglycerate"	"0.0789849138420591 , 0.437719659196196"	"0.948423668519921 , 0.514561614050625"	"0.0303021322243173 , 0.0147166711315958"	"0.0464080896611698 , 0.00363325157772906"			3473098	0.437719659	ycdW	Phosphoglycerate dehydrogenase and related dehydrogenases	reactant	K 301 -> R 301		3473098	0	3	1	0	"1.1.1.79,1.1.1.81"	"glyceric acid , glyceric acid"	"-0.0789849138420592 , -0.0789849138420592"	"0.948423668519921 , 0.948423668519921"	"0.0464080896611698 , 0.0464080896611698"	"0.0303021322243173 , 0.0303021322243173"			15155	-0.078984914	EcHS_A1151	Phosphoglycerate dehydrogenase and related dehydrogenases	reactant	R 301 -> K 301		
16348	0	1	0	0	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"0.767274337222421 , 0.767274337222421"	"0.454055432685492 , 0.454055432685492"	"0.0434886231936481 , 0.0434886231936481"	"0.00674704781594541 , 0.00674704781594541"	 ArcA CRP FNR Fis FlhDC GlpR	 Sigma70	3474325	0.767274337	glpA	Glycerol-3-phosphate dehydrogenase	reactant	0		3474325	0	1	0	0	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"-0.767274337222422 , -0.767274337222422"	"0.454055432685492 , 0.454055432685492"	"0.00674704781594541 , 0.00674704781594541"	"0.0434886231936481 , 0.0434886231936481"	 ArcA CRP FNR Fis FlhDC GlpR	 Sigma70	16348	-0.767274337	glpA	Glycerol-3-phosphate dehydrogenase	reactant			
16349	0	28	5	0	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"0.767274337222421 , 0.767274337222421"	"0.454055432685492 , 0.454055432685492"	"0.0434886231936481 , 0.0434886231936481"	"0.00674704781594541 , 0.00674704781594541"	 ArcA CRP FNR Fis FlhDC GlpR	 Sigma70	3474326	0.767274337	glpB	Anaerobic glycerol-3-phosphate dehydrogenase	reactant	"G 80 -> E 80 ,  D 163 -> G 163 ,  D 163 -> G 163 ,  S 165 -> A 165 ,  H 268 -> R 268"		3474326	0	28	5	0	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"-0.767274337222422 , -0.767274337222422"	"0.454055432685492 , 0.454055432685492"	"0.00674704781594541 , 0.00674704781594541"	"0.0434886231936481 , 0.0434886231936481"	 ArcA CRP FNR Fis FlhDC GlpR	 Sigma70	16349	-0.767274337	glpB	Anaerobic glycerol-3-phosphate dehydrogenase	reactant	"E 80 -> G 80 ,  G 163 -> D 163 ,  G 163 -> D 163 ,  A 165 -> S 165 ,  R 268 -> H 268"		
17488	0	2	2	0	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"0.767274337222421 , 0.767274337222421"	"0.454055432685492 , 0.454055432685492"	"0.0434886231936481 , 0.0434886231936481"	"0.00674704781594541 , 0.00674704781594541"	 ArcA CRP GlpR	 Sigma70	3475578	0.767274337	glpD	Glycerol-3-phosphate dehydrogenase	reactant	"K 496 -> R 496 ,  K 496 -> R 496"		3475578	0	2	2	0	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"-0.767274337222422 , -0.767274337222422"	"0.454055432685492 , 0.454055432685492"	"0.00674704781594541 , 0.00674704781594541"	"0.0434886231936481 , 0.0434886231936481"	 ArcA CRP GlpR	 Sigma70	17488	-0.767274337	glpD	Glycerol-3-phosphate dehydrogenase	reactant	"R 496 -> K 496 ,  R 496 -> K 496"		
14148	0	13	1	0	2.7.1.39	homoserine	0.35930943	0.631998787	0.012862726	0.009302841		 Sigma70	3471956	0.35930943	thrB	Homoserine kinase	reactant	D 274 -> E 274		3471956	0	13	1	0	2.7.1.39	homoserine	-0.35930943	0.631998787	0.009302841	0.012862726		 Sigma70	14148	-0.35930943	thrB	Homoserine kinase	reactant	E 274 -> D 274		
16447	0	50	5	0	1.1.1.3	homoserine	0.35930943	0.631998787	0.012862726	0.009302841			3474434	0.35930943	yfcX	3-hydroxyacyl-CoA dehydrogenase	reactant	"A 321 -> G 321 ,  D 205 -> E 205 ,  P 103 -> Q 103 ,  D 25 -> G 25 ,  I 18 -> V 18"		3474434	0	50	5	0	1.1.1.3	homoserine	-0.35930943	0.631998787	0.009302841	0.012862726	 ArcA FadR	 Sigma70	16447	-0.35930943	fadJ	3-hydroxyacyl-CoA dehydrogenase	reactant	"G 321 -> A 321 ,  E 205 -> D 205 ,  Q 103 -> P 103 ,  G 25 -> D 25 ,  V 18 -> I 18"		
18041	2	7	5	0	2.3.1.46	homoserine	0.35930943	0.631998787	0.012862726	0.009302841	 MetJ	 Sigma32 Sigma70	3476201	0.35930943	metA	Homoserine trans-succinylase	reactant	"E 97 -> D 97 ,  D 162 -> E 162 ,  Y 247 -> F 247 ,  G 256 -> D 256 ,  E 258 -> D 258"		3476201	2	7	5	0	2.3.1.46	homoserine	-0.35930943	0.631998787	0.009302841	0.012862726	 MetJ	 Sigma32 Sigma70	18041	-0.35930943	metA	Homoserine trans-succinylase	reactant	"D 97 -> E 97 ,  E 162 -> D 162 ,  F 247 -> Y 247 ,  D 256 -> G 256 ,  D 258 -> E 258"		
1937119	0	22	0	0	2.6.1.42	isoleucine	-0.045692501	0.968669513	0.029253377	0.028278035	 IHF IHF Lrp	 Sigma70	3475940	-0.045692501	ilvE	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	reactant	0		3475940	0	22	0	0	2.6.1.42	isoleucine	0.045692501	0.968669513	0.028278035	0.029253377	 IHF IHF Lrp	 Sigma70	1937119	0.045692501	ilvE	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	reactant			
17666	0	2	0	0	1.1.2.3	lactic acid	1.433456345	0.41002475	0.011486019	0.00196186	 ArcA LldR LldR	 Sigma70	3475772	1.433456345	lldD	L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases	reactant	0		3475772	0	2	0	0	1.1.2.3	lactic acid	-1.433456345	0.41002475	0.00196186	0.011486019	 ArcA LldR LldR	 Sigma70	17666	-1.433456345	lldD	L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases	reactant			
16318	0	7	2	5	"1.1.5.4,1.1.99.16"	"malic acid , malic acid"	"0.559340751415306 , 0.559340751415306"	"0.601271781187417 , 0.601271781187417"	"0.000607322119928488 , 0.000607322119928488"	"0.000136182815874595 , 0.000136182815874595"		 Sigma24 Sigma70	3474291	0.559340751	mqo	Predicted dehydrogenase	reactant	"K 519 -> N 519 ,  M 486 -> T 486"		3474291	0	7	2	0	"1.1.5.4,1.1.99.16"	"malic acid , malic acid"	"-0.559340751415306 , -0.559340751415306"	"0.601271781187417 , 0.601271781187417"	"0.000136182815874595 , 0.000136182815874595"	"0.000607322119928488 , 0.000607322119928488"		 Sigma24 Sigma70	16318	-0.559340751	mqo	Predicted dehydrogenase	reactant	"N 519 -> K 519 ,  T 486 -> M 486"		
16562	0	1	0	0	"1.1.1.39,1.1.1.40"	"malic acid , malic acid"	"0.559340751415306 , 0.559340751415306"	"0.601271781187417 , 0.601271781187417"	"0.000607322119928488 , 0.000607322119928488"	"0.000136182815874595 , 0.000136182815874595"			3474534	0.559340751	maeB	Malic enzyme	reactant	0		3474534	0	1	0	0	1.1.1.40	malic acid	-0.559340751	0.601271781	0.000136183	0.000607322			16562	-0.559340751	maeB	Malic enzyme	reactant			
15184	0	16	0	0	3.5.2.3	N-carbamoylaspartate	0.369375257	0.517632889	0.000121874	1.33E-05	 Fur PurR	 Sigma70	3473132	0.369375257	pyrC	Dihydroorotase	product	0		3473132	0	16	0	0	3.5.2.3	N-carbamoylaspartate	-0.369375257	0.517632889	1.33E-05	0.000121874	 Fur PurR	 Sigma70	15184	-0.369375257	pyrC	Dihydroorotase	product			
15886	1	2	0	0	3.5.1.19	nicotinamide	0.585281258	0.442370219	0.020484601	0.019124579			3473797	0.585281258	ydjB	Amidases related to nicotinamidase	reactant	0		3473797	1	2	0	0	"3.5.1.-,3.5.1.19"	"glutathione , nicotinamide"	"-0.86102358685119 , -0.58528125791222"	"0.398209640847857 , 0.442370218886287"	"0.0273826844129481 , 0.019124579435336"	"0.0486311964049712 , 0.0204846006947885"			15886	-0.861023587	pncA	Amidases related to nicotinamidase	reactant			
17996	0	19	1	3	3.5.1.16	ornithine 3TMS minor	0.536819815	0.569845113	0.024088108	0.005951662	 ArgR	 Sigma70	3476143	0.536819815	argE	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases	product	I 374 -> T 374		3476143	0	19	1	3	3.5.1.16	ornithine 3TMS minor	-0.536819815	0.569845113	0.005951662	0.024088108	 ArgR	 Sigma70	17996	-0.536819815	argE	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases	product	T 374 -> I 374		
18279	0	31	1	2	2.1.3.3	ornithine 3TMS minor	0.536819815	0.569845113	0.024088108	0.005951662	 ArgR	 Sigma70	3476462	0.536819815	argI	Ornithine carbamoyltransferase	reactant	D 253 -> E 253		3476462	0	31	1	10	2.1.3.3	ornithine 3TMS minor	-0.536819815	0.569845113	0.005951662	0.024088108	 ArgR	 Sigma70	18279	-0.536819815	argF	Ornithine carbamoyltransferase	reactant	E 253 -> D 253		
17703	0	18	0	0	2.4.2.10	orotic acid	2.013155745	0.36004331	0.010762884	0.002371123		" Sigma28,Sigma32"	3475806	2.013155745	pyrE	Orotate phosphoribosyltransferase	product	0		3475806	0	18	0	0	2.4.2.10	orotic acid	-2.013155745	0.36004331	0.002371123	0.010762884		" Sigma28,Sigma32"	17703	-2.013155745	pyrE	Orotate phosphoribosyltransferase	product			
14590	0	1	0	0	3.1.2.-	palmitoleic acid	1.192448619	0.368917848	0.028754058	0.015277111			3472481	1.192448619	tesB	Acyl-CoA thioesterase	product	0		3472481	0	1	0	0	3.1.2.-	palmitoleic acid	-1.192448619	0.368917848	0.015277111	0.028754058			14590	-1.192448619	tesB	Acyl-CoA thioesterase	product			
15373	0	2	0	1	3.1.2.-	palmitoleic acid	1.192448619	0.368917848	0.028754058	0.015277111		 Sigma32	3473308	1.192448619	yciA	Acyl-CoA hydrolase	product	0		3473308	0	2	0	1	3.1.2.-	palmitoleic acid	-1.192448619	0.368917848	0.015277111	0.028754058		 Sigma32	15373	-1.192448619	yciA	Acyl-CoA hydrolase	product			
16370	0	6	3	0	3.1.2.-	palmitoleic acid	1.192448619	0.368917848	0.028754058	0.015277111			3474351	1.192448619	yfbB	Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)	product	"V 166 -> A 166 ,  C 136 -> L 136 ,  A 132 -> V 132"		3474351	0	6	3	0									16370		EcHS_A2409	Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)	0	"A 166 -> V 166 ,  L 136 -> C 136 ,  V 132 -> A 132"		
16129	0	28	1	0	2.6.1.9	phenylalanine	0.535279635	0.625881773	0.023531445	0.017369636			3474102	0.535279635	hisC	Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase	reactant	K 285 -> E 285		3474102	0	28	1	0	2.6.1.9	phenylalanine	-0.535279635	0.625881773	0.017369636	0.023531445			16129	-0.535279635	hisC	Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase	reactant	E 285 -> K 285		
16694	1	12	0	0	4.2.1.51	phenylalanine	0.535279635	0.625881773	0.023531445	0.017369636		 Sigma70	3474699	0.535279635	pheA	Prephenate dehydratase	product	0		3474699	2	12	0	0	4.2.1.51	phenylalanine	-0.535279635	0.625881773	0.017369636	0.023531445		 Sigma70	16694	-0.535279635	pheA	Prephenate dehydratase	product			
17981	0	1	0	0	1.11.1.7	phenylalanine	0.535279635	0.625881773	0.023531445	0.017369636	 FNR Fur OxyR	 Sigma70	3476128	0.535279635	katG	Catalase (peroxidase I)	reactant	0		3476128	0	1	0	0	1.11.1.7	phenylalanine	-0.535279635	0.625881773	0.017369636	0.023531445	 FNR Fur OxyR	 Sigma70	17981	-0.535279635	katG	Catalase (peroxidase I)	reactant			
15311	2	0	0	0	1.4.99.1	phenylpyruvic acid	-0.110040041	0.939626764	0.078668716	0.075468085	 CRP CRP Lrp	 Sigma70	3473239	-0.110040041	dadA	Glycine/D-amino acid oxidases (deaminating)	product	0		3473239	2	0	0	0	1.4.99.1	phenylpyruvic acid	0.110040041	0.939626764	0.075468085	0.078668716	 CRP CRP Lrp	 Sigma70	15311	0.110040041	dadA	Glycine/D-amino acid oxidases (deaminating)	product			
17889	1	32	5	0	4.1.1.-	phenylpyruvic acid	-0.110040041	0.939626764	0.078668716	0.075468085		 Sigma70	3476018	-0.110040041	ubiD	3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases	reactant	"D 278 -> E 278 ,  P 279 -> Q 279 ,  P 279 -> Q 279 ,  M 282 -> T 282 ,  M 282 -> T 282"		3476018	1	32	5	0	4.1.1.-	phenylpyruvic acid	0.110040041	0.939626764	0.075468085	0.078668716		 Sigma70	17889	0.110040041	ubiD	3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases	reactant	"E 278 -> D 278 ,  Q 279 -> P 279 ,  Q 279 -> P 279 ,  T 282 -> M 282 ,  T 282 -> M 282"		
15206	0	47	1	0	3.1.4.-	phosphoethanolamine	0.762677676	0.326820746	0.005775299	0.003912385		 Sigma70	3473154	0.762677676	rne	Ribonucleases G and E	product	A 749 -> V 749		3473154	0	47	1	0	3.1.4.-	phosphoethanolamine	-0.762677676	0.326820746	0.003912385	0.005775299		 Sigma70	15206	-0.762677676	rne	Ribonucleases G and E	product	V 749 -> A 749		
18221	1	24	1	0	4.1.2.-	phosphoethanolamine	0.762677676	0.326820746	0.005775299	0.003912385	 CRP IHF UlaR	 Sigma70	3476392	0.762677676	ulaD	3-hexulose-6-phosphate synthase and related proteins	product	Q 131 -> G 131		3476392	1	24	1	0									18221		EcHS_A4440	3-hexulose-6-phosphate synthase and related proteins	0	G 131 -> Q 131		
