	HS_Glcn_C	HS_Glcn_S	HS_Glu_C	HS_Glu_S	HS_Gly_C	HS_Gly_S
"[19] 2,3-dihydroxybenzoic acid [15.698]"	0.48617674	0.615273431	0.694552254	1.039557651	1.066503569	0.154197587
[985] palmitic acid [18.846]	1.591587476	0.592322517	0.852452337	0.915972525	0.9859488	1.112998199
[753] glycerol [9.941]	0.694985815	1.22617335	1.265696178	0.890878509	0.867898918	0.095512366
[169019] D-threitol [12.954]	0	0.240115911	0	0.845447816	0	108.5818999
[1004] phosphoric acid [9.966]	1.200893803	0.639287494	1.107407971	0.806885667	0.969074812	5.094596704
[1015] O-phosphocolamine [16.232]	1.5088833	0.7799721	0.878126135	0.721307813	1.050817023	0.512693185
[C9] Methyl Pelargonate [9.248]	1.032236136	1.082986925	0.827676243	0.709258581	1.015132313	0.848268296
[C10] Methyl Caprate [10.647]	1.034367144	1.081325961	0.806825271	0.697848324	1.017891464	0.859394432
[311] citric acid [16.615]	0	6.323762331	17.12806174	0.692557708	0	0.204405986
[C12] Methyl Laurate [13.250]	1.053501723	1.113511971	0.790819975	0.685943527	1.035880652	0.94698005
[C8] Methyl Caprylate [7.812]	1.045351808	0.855532856	0.829339317	0.685014794	1.013869711	0.821335405
[C14] Methyl Myristate [15.597]	1.073714746	1.010303244	0.833692304	0.679136187	1.01854488	0.962282018
[C16] Methyl Palmitate [17.723]	1.058489661	1.125791519	0.816340938	0.669264487	1.028477851	0.954402971
[C18] Methyl Stearate [19.663]	1.040843249	1.163739385	0.797819923	0.607652444	1.056450103	0.966424906
[C20] Methyl Eicosanoate [21.441]	1.039293288	1.183924927	0.78348414	0.585552333	1.069776283	0.982886367
[C24] Methyl Linocerate [24.603]	1.056126312	1.167497265	0.786230435	0.581861644	1.086118823	1.043470909
[C22] Methyl Docosanoate [23.082]	1.012989505	1.143227848	0.768406408	0.578991148	1.074768629	1.018650881
[10436] orcinol [12.28]	0	0.201277828	0	0.565736683	0	818358.125
[C26] Methyl Hexacosanoate [26.023]	1.024276134	1.14303533	0.747304289	0.55381554	1.097060163	1.088577848
[439559] palatinose [25.482]	0	0	0	0.538951673	0	0
[C28] Methyl Octacosanoate [27.349]	1.011583575	1.144131324	0.725021937	0.532512999	1.073069598	1.123649196
[5988] Sucrose [23.988]	0	0.487565787	37849	0.464001569	0	21266.875
[66868] porphine 1 [10.77]	34319.25	0.027998429	1.001346229	0.461002577	2.370407736	1.569565859
[C30] Methyl Triacontanoate [28.723]	1.098256963	1.151421555	0.702424864	0.425421093	1.119749325	1.154777145
[1174] uracil [10.777]	0.418187908	0.590814873	1.360062577	0.337849247	2.08597309	1.071828677
[439194] glyceric acid [10.735]	1.025898144	1.6876315	0.811680838	0.337636634	1.012819636	2.114206964
[11005] myristic acid [16.887]	3.597079782	0.159926955	1.161568437	0.325662121	0.974797651	2.887254254
[151138] cis-4-hydroxycyclohexanecarboxylic acid [12.776]	0	0.474266986	0	0.317701305	0	21.05426628
[5950] L-alanine 2 [11.182]	0	0	150230	0.310506073	0.781523452	175968.125
[135] 4-hydroxybenzoic acid [14.505]	0	0.788560696	0	0.307751883	0	0.453588072
[439746] 6-deoxy-D-glucose 2 [15.751]	0	0.512033413	0	0.267586734	0	3.479521943
[84571] lactose 2 [24.534]	0	0	0	0.219902328	0	0
[439240] D-lyxose 1 [14.762]	0	0.632225968	0	0.102734784	0	95318.625
[2724552] tagatose 1 [17.011]	0	0	0	0.085022269	0	0
[71] gluconic acid 1 [17.693]	0	0.130976846	0	0.077256557	0	36836.875
[740] alpha-glucosamine 1-phosphate [16.631]	0	0	0	0.064496833	0	0
[12647] L-homoserine 1 [11.141]	0	0.854634312	0	0.056566753	0	100507
[101713] glucoheptonic acid 1 [18.985]	0	28197.75	0	0	0	24574.75
[124886] L-glutathione reduced [20.025]	780093.75	390047.375	0	0	0.23053895	115851.625
[1995] N-acetyl-L-leucine [12.142]	0	52188.75	0	0	0	14923.125
[206] D (+) galactose 2 [17.662]	0	0.883807396	0	0	0	4.416284808
[243] benzoic acid [9.594]	177854.5	1.557022636	0	0	0	26230.125
[2526] beta-glycerolphosphate [15.645]	0	0	0	0	36833.25	18417.125
[2724552] tagatose 2 [17.212]	0	0	0	0	0	0.353116329
[275] L-canavanine 2 [18.325]	0	0	0	0	0	3502.375
[3034828] palatinitol_2 [26.01]	0	0.645557762	0	0	0	0
[3625615] maltotriitol [31.801]	0	0	0	0	0	0
[441032] D (+)altrose 2 [17.46]	28963.25	3.258570866	0	0	0	0
[68152] 3-hydroxypropanoic acid 1 [13.763]	18499	1.817971496	0	0	0	47248.5
[6912] xylitol [15.376]	0	1.146999199	0	0	0	20413.75
[73563] D-glucosaminic acid 1 [18.387]	0	0	0	0	0	3502.375
[757] glycolic acid [7.049]	0	0.67292099	0	0	0	57060.125
[8299] acetol 1 [13.293]	0	1.127453893	0	0	0	0
[92824] D-malic acid [12.794]	54435	27218	0	0	1.629136001	90454
[938] nicotinic acid [10.27]	0	1.975532861	0	0	0	9111.5
[971] oxalic acid [7.883]	0	171251	0	0	0	0
