"log2(ratio)"	"p-value"	"SD test"	"SD ref"
"cysteine-glycine"	-1.33870556456657	0.0123946687869202	0.0028769328309716	0.0341890711090886
"elaidic acid"	-1.2449978823839	0.0989437480464668	0.00463342578991092	0.0293666844061225
"ethanolamine"	0.29987794005856	0.490002485955594	0.00932437342127308	0.011888295188688
"GABA"	0.0189916674583987	0.980762168729847	0.0149744833521813	0.0289865566380386
"galactinol 1"	1.30174167884282	0.000578882726318955	0.00496179122266828	0.040351706326993
"galactose"	0.932031026934834	0.111635966721464	0.011106754467029	0.0280385600432125
"gluconic acid"	2.08555504791502	0.242610039829209	0.0490246409045292	0.0398997052528441
"glucose 2"	1.5100691220321	0.136404032057065	0.0188665633770111	0.0305717718608731
"glucose-6-phosphate 1"	-0.0608399481772416	0.919078234977947	0.0110810889475446	0.0265289150942537
"glutathione"	-1.25158619598673	0.0585847685966392	0.00390206369062217	0.0487961988904619
"glyceric acid"	-1.12810169617929	0.00401639581928597	0.00142855911402177	0.0254790635630818
"glycerol"	0.953378289103266	4.55529342256355e-06	0.000375088593986265	0.0193182904570375
"glycerol-alpha-phosphate"	-1.02485100102293	0.0179905032014064	0.00341292347789065	0.0259016691339758
"glycerol-beta-phosphate RI 571748"	0.0953511071191688	0.761499963739197	0.00717365884698908	0.0159772158086072
"glycine"	-4.84056144741669	0.00803903948409954	0.000695934985539661	0.0576266518844431
"heptadecanoyl-1-glyceride"	-1.27164483056871	4.41024433256257e-05	0.000717583500290794	0.0155395763084202
"homocystine"	-0.303396504251975	0.704005775902152	0.0124447320540352	0.0184181299080057
"homoserine"	-0.537404044962881	0.453462682507601	0.00689266412198456	0.0127679142788776
"homoserine minor"	0.433886957397693	0.057632173009585	0.000123180137578227	0.020462701292198
"hydroxylamine"	-0.000648076921096484	0.993980190726609	0.000708182851233226	0.00800013417870802
"isoleucine"	-0.10120796718697	0.93062668813667	0.0278018401029964	0.0284044254045124
"isoleucine minor"	1.75449252108186	0.00147657751655263	0.00680848771320603	0.0260074007727774
"lactic acid"	1.92978544183328	0.507409812888395	0.0923495223234398	0.0413306063526258
"lauric acid"	-0.165290550685685	0.90803048557333	0.0286837044642371	0.0516823233912287
"leucine"	-2.29153396758387	0.000962058595531411	0.00324155132293079	0.032886028495525
"levoglucosan"	1.14417907990084	4.02713762638151e-06	0.000169012194594945	0.025970779877519
"maleic acid"	0.730698861254691	0.636498521932685	0.0182388679362152	0.0212161989056672
"malic acid"	1.8204622722944	0.602004807547613	0.135685464407838	0.0707668517296081
"mannose-6-phosphate NIST"	-3.30599475400334	0.0124795432858336	0.000389230669596267	0.0562999270148961
"methionine"	-0.165183715786428	0.827062953806128	0.0133195755748706	0.0251053231143103
"methylhexadecanoic acid"	-0.151957537623709	0.587548933599267	0.00431574842550801	0.0124808523079735
"monomyristin NIST"	0.17755639875407	0.736677552349618	0.0120834703114157	0.00949465585024107
"myristic acid"	-1.76752177253823	0.0470001307268299	0.00759768636248638	0.0405059053678362
"N-acetylaspartic acid 2"	-0.196620669271261	0.906475927118072	0.029408388694682	0.0871622647012285
"N-acetyl-D-hexosamine"	0.631059354405219	0.292109986679823	0.00460687930008174	0.0552837695190975
"N-butylamine NIST"	1.4641862157828	0.462040387667398	0.0584029623301151	0.0363759258714257
"N-carbamoylaspartate"	1.22436822185591	0.334232897436939	0.0338013894808583	0.0666377253497075
"nicotinamide"	-2.0165328897428	0.00100808333937422	0.00310007083134258	0.0303766291148581
"N-methylalanine"	-0.926796877531274	0.328337323442028	0.0143263251360551	0.0307082599885558
"O-acetylserine"	0.439365484512474	0.478485221075944	0.0118687298599458	0.0390305312023463
"ornithine 3TMS minor"	-1.0433672887616	0.0439636090150863	0.00171879608184149	0.0296813957591549
"orotic acid"	0.868527831517844	0.0411674062869391	0.00191540906216005	0.0505857684597442
"oxalic acid"	0.471257436099197	0.0810068709944993	0.00384004816763065	0.0245286407785331
"oxoproline"	1.42259965979465	0.629749666727837	0.0949841731157759	0.0748282079702073
"palmitic acid"	-1.06269953548786	0.0156210547452818	0.00331408312989418	0.0168357208463816
"palmitoleic acid"	0.500504233420811	0.0327237164984773	0.000978943491365932	0.0256566664256462
"pelargonic acid"	0.430734027900292	0.829618064353537	0.0423789422724982	0.0399535975783351
"phenylalanine"	0.24096849931924	0.776728124624197	0.0193689262790793	0.0268534364259849
"phenylalanine TMS1x"	1.0173867851784	0.574132072879204	0.0466471269278779	0.0533933371602457
"phenylpyruvic acid"	-1.05461109955152	0.0832736476008857	0.00490628043645094	0.0408342532996005
"phosphoethanolamine"	0.723164824209527	0.274194566718435	0.0138401634726005	0.0460584132719883
"phosphoric acid"	-0.0403814176049729	0.968528319771682	0.0220687225318056	0.0172145526513109
"proline"	-0.711540949521755	0.29757337353245	0.0101035034525946	0.0253324195009553
"pseudo uridine"	1.23803156485476	0.232661062553391	0.0221146072875715	0.0234520679051101
"putrescine"	-1.68158915819944	0.0362896196153459	0.00706701923286011	0.0334645465958023
"putrescine 3TMS"	-0.341110702690206	0.531808207793652	0.0103647251485791	0.0165566246310572
"putrescine CO2 adduct"	0.4376321256415	0.0255987224118115	0.00227681611552514	0.016929040265417
"pyrazine 2,5-dihydroxy  NIST"	-2.37184136413895	0.000113040662588585	0.00197706080669761	0.0268796081442292
"pyrophosphate 1"	-3.64521507069388	6.56910350561625e-05	0.00194411248182228	0.0273654266533275
"rhamnose 1"	0.722097234975977	0.336894246735789	0.0138816656747789	0.0679045130710002
"serine"	-3.62894957739873	0.00164818889587701	0.000129831968400003	0.0438272452127445
"sorbose meox2"	1.47659793631995	0.59460280741525	0.0859599057032849	0.0302678024952657
"stearic acid"	-0.516991139150167	0.451462289647648	0.00787240375639057	0.0115579162926663
"succinic acid"	1.01703171572387	0.475739673451871	0.0345368086501409	0.0478473869947495
"threitol 2"	0.794820919793189	0.429010906101677	0.0225120515440955	0.0310460350236066
"threonine"	-1.93761615696911	0.00309248304271093	0.00141885455846929	0.0305426659798571
"threonine 2TMS"	0.219923993873489	0.513833873210541	0.00410653861848456	0.0229861825154247
"thymine"	-1.37328663816588	0.037359082840191	0.00238569465988488	0.041126712310735
"triethylamine, 2-chloro-2'-(trimethyl)silyloxy-"	-5.1731986818828	2.81941312765107e-05	0.000134851767796005	0.0268977732335392
"tryosine"	0.604740638877421	0.0443684577046877	0.00303220552155126	0.0267055997197995
"tyrosine"	0.736278446944163	0.135927586911722	0.00867782860139269	0.0324506961879538
"urea"	-5.98355385187292	0.0104832873745412	0.000162795439872309	0.0527611915859794
"valine"	-0.157759495659904	0.818819930599038	0.013314080113496	0.0260249295059601
"valine TMS1x poor spec quality"	1.86581017972784	1.78309175148627e-07	0.0029348259898538	0.0283451499672748
"xanthine"	-3.28470785920196	0.0022696030219856	0.000930379418199647	0.0444949751866105
"xylose 2"	1.6224785800207	0.259743112886444	0.0340842350364583	0.038289422526683
