locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	COG	COGFun	EC
14255	NP_414651.1	16128102	7023	118645	117752	-	b0109	nadC	COG157	H	2.4.2.19
14256	NP_414652.1	16128103	7023	118733	119284	+	b0110	ampD	COG3023	V	3.5.1.28
14257	NP_414653.1	16128104	7023	119281	120135	+	b0111	ampE	COG3725	V	
14258	NP_414654.1	16128105	7023	121551	120178	-	b0112	aroP	COG1113	E	
14259	NP_414655.1	16128106	7023	122092	122856	+	b0113	pdhR	COG2186	K	
14260	NP_414656.1	16128107	7023	123017	125680	+	b0114	aceE	COG2609	C	1.2.4.1
14261	NP_414657.1	16128108	7023	125695	127587	+	b0115	aceF	COG508	C	2.3.1.12
14262	NP_414658.1	16128109	7023	127912	129336	+	b0116	lpd	COG1249	C	1.8.1.4
14263	NP_414659.1	16128110	7023	131260	129407	-	b0117	yacH			
14264	NP_414660.1	16128111	7023	131615	134212	+	b0118	acnB	COG1049	C	4.2.1.3
14265	NP_414661.2	90111086	7023	134388	134750	+	b0119	yacL	COG3112	S	
14266	NP_414662.1	16128113	7023	135582	134788	-	b0120	speD	COG1586	E	4.1.1.50
14267	NP_414663.1	16128114	7023	136464	135598	-	b0121	speE	COG421	E	2.5.1.16
14268	NP_414664.4	90111087	7023	136917	136570	-	b0122	yacC			
14269	NP_414665.1	16128116	7023	137083	138633	+	b0123	cueO	COG2132	Q	
14270	NP_414666.1	16128117	7023	141225	138835	-	b0124	gcd	COG4993	G	1.1.5.2
14271	NP_414667.4	90111088	7023	141431	141967	+	b0125	hpt	COG634	F	2.4.2.8
14272	NP_414668.1	16128119	7023	142670	142008	-	b0126	can	COG288	P	4.2.1.1
14273	NP_414669.1	16128120	7023	142779	143705	+	b0127	yadG	COG1131	V	
14274	NP_414670.1	16128121	7023	143702	144472	+	b0128	yadH	COG842	V	
14275	NP_414671.1	16128122	7023	144577	145017	+	b0129	yadI	COG2893	G	2.7.1.69
14276	NP_414672.1	16128123	7023	145081	146310	+	b0130	yadE	COG726	G	
14277	NP_414673.1	16128124	7023	146694	146314	-	b0131	panD	COG853	H	4.1.1.11
14278	NP_414674.1	16128125	7023	146968	147870	+	b0132	yadD	COG5464	S	
14279	NP_414675.1	16128126	7023	148795	147944	-	b0133	panC	COG414	H	6.3.2.1
14280	NP_414676.1	16128127	7023	149601	148807	-	b0134	panB	COG413	H	2.1.2.11
14281	NP_414677.1	16128128	7023	150953	149715	-	b0135	yadC	COG3539	NU	
14282	NP_414678.1	16128129	7023	151599	151003	-	b0136	yadK	COG3539	NU	
14283	NP_414679.1	16128130	7023	152231	151626	-	b0137	yadL			
14284	NP_414680.4	90111089	7023	152812	152243	-	b0138	yadM	COG3539	NU	
14285	NP_414681.1	16128132	7023	155426	152829	-	b0139	htrE	COG3188	NU	
14286	NP_414682.1	16128133	7023	156201	155461	-	b0140	ecpD	COG3121	NU	
14287	NP_414683.1	16128134	7023	156883	156299	-	b0141	yadN	COG3539	NU	
14288	NP_414684.1	16128135	7023	157732	157253	-	b0142	folK	COG801	H	2.7.6.3
14289	NP_414685.4	90111090	7023	159126	157729	-	b0143	pcnB	COG617	J	2.7.7.19
14290	NP_414686.3	226524698	7023	160112	159186	-	b0144	yadB	COG8	J	"6.1.1.-,6.1.1.17"
14291	NP_414687.1	16128138	7023	160604	160149	-	b0145	dksA	COG1734	T	
14292	NP_414688.1	16128139	7023	161486	160782	-	b0146	sfsA	COG1489	R	
14293	NP_414689.4	90111091	7023	162031	161501	-	b0147	yadP	COG1514	J	6.5.1.-
14294	NP_414690.4	90111092	7023	162105	164534	+	b0148	hrpB	COG1643	L	3.6.1.-
14295	NP_414691.1	16128142	7023	164730	167264	+	b0149	mrcB	COG744	M	2.4.1.129
14296	NP_414692.1	16128143	7023	167484	169727	+	b0150	fhuA	COG1629	P	
14297	NP_414693.1	16128144	7023	169778	170575	+	b0151	fhuC	COG1120	PH	3.6.3.34
14298	NP_414694.1	16128145	7023	170575	171465	+	b0152	fhuD	COG614	P	
14299	NP_414695.1	16128146	7023	171462	173444	+	b0153	fhuB	COG609	P	
14300	NP_414696.1	16128147	7023	174882	173602	-	b0154	hemL	COG1	H	5.4.3.8
14301	NP_414697.1	16128148	7023	175107	176528	+	b0155	clcA	COG38	P	
14302	NP_414698.1	16128149	7023	176610	176954	+	b0156	yadR	COG316	S	
14303	NP_414699.1	16128150	7023	177624	177001	-	b0157	yadS	COG2860	S	
14304	NP_414700.1	16128151	7023	178462	177662	-	b0158	btuF	COG614	P	
14305	NP_414701.1	16128152	7023	179153	178455	-	b0159	pfs	COG775	F	"3.2.2.16,3.2.2.9"
14306	NP_414702.1	16128153	7023	179237	180754	+	b0160	dgt	COG232	F	3.1.5.1
14307	NP_414703.1	16128154	7023	180884	182308	+	b0161	degP	COG265	O	3.4.21.-
14308	NP_414704.4	90111093	7023	182463	183620	+	b0162	yaeG	COG3835	KT	
14309	NP_414705.1	16128156	7023	184095	183709	-	b0163	yaeH			
14310	NP_414706.2	90111094	7023	185069	184257	-	b0164	yaeI	COG1408	R	
14312	NP_414708.1	16128159	7023	185947	185123	-	b0166	dapD	COG2171	E	2.3.1.117
14313	NP_414709.1	16128160	7023	188650	185978	-	b0167	glnD	COG2844	O	2.7.7.59
14314	NP_414710.1	16128161	7023	189506	188712	-	b0168	map	COG24	J	3.4.11.18
1936221			7023	189712	189847	+	b4414	tff			
14315	NP_414711.1	16128162	7023	189874	190599	+	b0169	rpsB	COG52	J	
14316	NP_414712.1	16128163	7023	190857	191708	+	b0170	tsf	COG264	J	
14317	NP_414713.1	16128164	7023	191855	192580	+	b0171	pyrH	COG528	F	2.7.4.22
14318	NP_414714.1	16128165	7023	192872	193429	+	b0172	frr	COG233	J	
14319	NP_414715.1	16128166	7023	193521	194717	+	b0173	dxr	COG743	I	1.1.1.267
14320	NP_414716.1	16128167	7023	194903	195664	+	b0174	ispU	COG20	I	2.5.1.31
14321	NP_414717.2	90111095	7023	195677	196534	+	b0175	cdsA	COG575	I	2.7.7.41
14322	NP_414718.1	16128169	7023	196546	197898	+	b0176	yaeL	COG750	M	3.4.24.-
14323	NP_414719.1	16128170	7023	197928	200360	+	b0177	yaeT	COG4775	M	
14324	NP_414720.1	16128171	7023	200482	200967	+	b0178	hlpA	COG2825	M	
14325	NP_414721.1	16128172	7023	200971	201996	+	b0179	lpxD	COG1044	M	2.3.1.-
14326	NP_414722.1	16128173	7023	202101	202556	+	b0180	fabZ	COG764	I	4.2.1.-
14327	NP_414723.1	16128174	7023	202560	203348	+	b0181	lpxA	COG1043	M	2.3.1.129
14328	NP_414724.1	16128175	7023	203348	204496	+	b0182	lpxB	COG763	M	2.4.1.182
14329	NP_414725.1	16128176	7023	204493	205089	+	b0183	rnhB	COG164	L	3.1.26.4
14330	NP_414726.1	16128177	7023	205126	208608	+	b0184	dnaE	COG587	L	2.7.7.7
14331	NP_414727.1	16128178	7023	208621	209580	+	b0185	accA	COG825	I	6.4.1.2
14332	NP_414728.1	16128179	7023	209679	211820	+	b0186	ldcC	COG1982	E	
14333	NP_414729.4	90111096	7023	211877	212266	+	b0187	yaeR	COG346	E	4.4.1.5
14334	NP_414730.1	16128181	7023	212331	213629	+	b0188	tilS	COG37	D	6.3.4.-
14335	NP_414731.2	90111097	7023	213932	213678	-	b0189	yaeO	COG4568	K	
1936225	YP_026160.1	49176004	7023	214125	213925	-	b4406	yaeP			
14336	NP_414732.1	16128183	7023	214291	214836	+	b0190	yaeQ	COG4681	S	
14337	NP_414733.1	16128184	7023	214833	215255	+	b0191	yaeJ			
14338	NP_414734.1	16128185	7023	215269	215979	+	b0192	nlpE	COG3015	MP	
14339	NP_414735.4	90111098	7023	217003	216179	-	b0193	yaeF			
14340	NP_414736.1	16128187	7023	218775	217057	-	b0194	proS	COG442	J	6.1.1.15
14341	NP_414737.1	16128188	7023	219594	218887	-	b0195	yaeB	COG1720	S	
14342	NP_414738.1	16128189	7023	219995	219591	-	b0196	rcsF			
14343	NP_414739.1	16128190	7023	220928	220113	-	b0197	metQ	COG1464	P	
14344	NP_414740.1	16128191	7023	221621	220968	-	b0198	metI	COG2011	P	
14345	NP_414741.1	16128192	7023	222645	221614	-	b0199	metN	COG1135	P	
14346	NP_414742.1	16128193	7023	222833	223408	+	b0200	gmhB	COG241	E	
1936227			7023	223771	225312	+	b0201	rrsH			
1936228			7023	225381	225457	+	b0202	ileV			
1936229			7023	225500	225575	+	b0203	alaV			
1936230			7023	225759	228662	+	b0204	rrlH			
1936231			7023	228756	228875	+	b0205	rrfH			
1936232			7023	228928	229004	+	b0206	aspU			
14347	NP_414743.1	16128194	7023	229167	229970	+	b0207	dkgB	COG656	R	1.1.1.274
14348	NP_414744.1	16128195	7023	230881	229967	-	b0208	yafC	COG583	K	
14349	NP_414745.1	16128196	7023	231122	231922	+	b0209	yafD	COG3021	S	
14350	NP_414746.1	16128197	7023	231926	232549	+	b0210	yafE	COG500	QR	
14351	NP_414747.1	16128198	7023	233955	232597	-	b0211	mltD	COG741	M	3.2.1.-
14352	NP_414748.1	16128199	7023	234782	234027	-	b0212	gloB	COG491	R	3.1.2.6
14353	NP_414749.2	90111099	7023	234816	235538	+	b0213	yafS			
14354	NP_414750.1	16128201	7023	236002	235535	-	b0214	rnhA	COG328	L	3.1.26.4
14355	NP_414751.1	16128202	7023	236067	236798	+	b0215	dnaQ	COG847	L	2.7.7.7
1936234			7023	236931	237007	+	b0216	aspV			
14356	NP_414752.1	16128203	7023	237335	238120	+	b0217	yafT			
3446138	YP_001165307.1	145698220	7023	238736	238257	-	b4586	ykfM			
14357			7023	239102	238746	-	b0218	yafU			
1936235			7023	239106	239378	+	b4503	yafF			
14358	NP_414754.1	16128205	7023	240189	239419	-	b0219	yafV	COG388	R	
14359	NP_414755.1	16128206	7023	240343	240816	+	b0220	ivy			
14360	NP_414756.2	90111100	7023	243303	240859	-	b0221	yafH	COG1960	I	1.3.99.-
14361	NP_414757.1	16128208	7023	243543	244121	+	b0222	lpcA	COG279	G	5.-.-.-
14362	NP_414758.1	16128209	7023	244327	245094	+	b0223	yafJ	COG121	R	
14363	NP_414759.1	16128210	7023	245805	245065	-	b0224	yafK	COG3034	S	
14364	NP_414760.1	16128211	7023	246239	245961	-	b0225	yafQ	COG3041	S	
14365	NP_414761.1	16128212	7023	246502	246242	-	b0226	dinJ	COG3077	L	
14366	NP_414762.1	16128213	7023	246712	247461	+	b0227	yafL	COG791	M	
14367	NP_414763.1	16128214	7023	247637	248134	+	b0228	yafM	COG1943	L	
14368	NP_414764.2	90111101	7023	250070	248358	-	b0229	fhiA	COG1298	NU	
14369			7023	250072	250827	+	b0230	mbhA			
14370	NP_414766.1	16128217	7023	250898	251953	+	b0231	dinB	COG389	L	2.7.7.7
14371	NP_414767.1	16128218	7023	252005	252298	+	b0232	yafN	COG2161	D	
14372	NP_414768.1	16128219	7023	252301	252699	+	b0233	yafO			
14373	NP_414769.1	16128220	7023	252709	253161	+	b0234	yafP			2.3.1.-
14374			7023	253479	253685	+	b0235	ykfJ			
14375	NP_414771.1	16128222	7023	253702	254202	+	b0236	prfH	COG1186	J	
14376	NP_414772.1	16128223	7023	255716	254259	-	b0237	pepD	COG2195	E	3.4.13.3
14377	NP_414773.1	16128224	7023	255977	256435	+	b0238	gpt	COG503	F	2.4.2.22
14378	NP_414774.1	16128225	7023	256527	257771	+	b0239	frsA			3.1.-.-
14379	NP_414775.1	16128226	7023	257829	258230	+	b0240	crl			
14380	NP_414776.1	16128227	7023	259324	258269	-	b0241	phoE	COG3203	M	
14381	NP_414777.1	16128228	7023	259612	260715	+	b0242	proB	COG263	E	2.7.2.11
14382	NP_414778.1	16128229	7023	260727	261980	+	b0243	proA	COG14	E	1.2.1.41
1936238			7023	262095	262170	+	b0244	thrW			
3446140			7023	262436	262374	-	b4626	ykfN			
14383	NP_414779.1	16128230	7023	262893	262552	-	b0245	ykfI			
14384	NP_414780.1	16128231	7023	263231	262914	-	b0246	yafW			
1936239	YP_588435.1	94541094	7023	263471	263250	-	b4504	ykfH			
14385	NP_414781.1	16128232	7023	263956	263480	-	b0247	ykfG	COG2003	L	
14386	NP_414782.1	16128233	7023	264430	263972	-	b0248	yafX			
14387	NP_414783.1	16128234	7023	264767	264528	-	b0249	ykfF			
14388	NP_414784.1	16128235	7023	265311	264844	-	b0250	ykfB			
14389	NP_414785.4	145698221	7023	265777	265334	-	b0251	yafY			
3446142			7023	265998	265777	-	b4627	ykfL			
3446144			7023	266191	266000	-	b4628	ykfK			
14390	NP_414786.4	90111102	7023	267229	266408	-	b0252	yafZ			
14391	NP_414787.4	90111103	7023	268184	267321	-	b0253	ykfA	COG3596	R	
14392	NP_414788.1	16128239	7023	269406	268513	-	b0254	perR	COG583	K	
3446146			7023	269502	269759	+	b4587	insN			
14394	NP_414790.1	16128241	7023	269827	270978	+	b0256	insI-1	COG2826	L	
7497339			7023	271804	271878	+	b4690	eyeA			
14396			7023	272071	273178	+	b0258	ykfC			
14397	NP_414793.1	16128244	7023	274341	273325	-	b0259	insH-1	COG3039	L	
14398	NP_414794.4	90111105	7023	274549	275952	+	b0260	ykfD	COG833	E	
14399	NP_414795.1	16128246	7023	275939	276871	+	b0261	mmuM	COG2040	E	2.1.1.10
14400	NP_414796.2	90111106	7023	278026	276980	-	b0262	afuC	COG3842	E	
14401			7023	278385	278038	-	b0263	afuB			
14402	NP_414798.1	16128249	7023	278905	278402	-	b0264	insB-2	COG1662	L	
14403	NP_414799.1	16128250	7023	279099	278824	-	b0265	insA-2	COG3677	L	
1936246			7023	279586	279338	-	b4505	insX			
14404			7023	279959	279651	-	b0266	yagB			
14405	NP_414801.1	16128252	7023	281207	280053	-	b0267	yagA	COG2801	L	
14406	NP_414802.1	16128253	7023	281481	282410	+	b0268	yagE	COG329	EM	4.2.1.52
14407	NP_414803.1	16128254	7023	282425	284392	+	b0269	yagF	COG129	EG	4.2.1.9
14408	NP_414804.1	16128255	7023	284619	286001	+	b0270	yagG	COG2211	G	
14409	NP_414805.1	16128256	7023	286013	287623	+	b0271	yagH	COG3507	G	3.2.1.37
14410	NP_414806.1	16128257	7023	288386	287628	-	b0272	yagI	COG1414	K	
14411	NP_414807.1	16128258	7023	289529	288525	-	b0273	argF	COG78	E	2.1.3.3
7497340			7023	289653	289857	+	b4688	ykgS			
14412	NP_414808.1	16128259	7023	290376	289873	-	b0274	insB-3	COG1662	L	
14413	NP_414809.1	16128260	7023	290570	290295	-	b0275	insA-3	COG3677	L	
14414			7023	290628	291455	+	b0276	yagJ			
14415	NP_414811.1	16128262	7023	292172	291546	-	b0277	yagK			
14416	NP_414812.1	16128263	7023	293142	292444	-	b0278	yagL	COG1961	L	
14417	NP_414813.1	16128264	7023	294023	293169	-	b0279	yagM			
14418	NP_414814.1	16128265	7023	294803	294363	-	b0280	yagN			
14419	NP_414815.1	16128266	7023	296320	294920	-	b0281	intF			
3446148			7023	296430	296478	+	b4629	ptwF			
7497341			7023	296943	296605	-	b4694	yagP			
7497342			7023	297015	296938	-	b4695	ykgT			
14421	NP_414817.1	16128268	7023	297950	296994	-	b0283	yagQ	COG1975	O	
14422	NP_414818.1	16128269	7023	300158	297960	-	b0284	yagR	COG1529	C	1.17.1.4
14423	NP_414819.1	16128270	7023	301111	300155	-	b0285	yagS	COG1319	C	1.17.1.4
14424	NP_414820.1	16128271	7023	301797	301108	-	b0286	yagT	COG2080	C	
14425	NP_414821.1	16128272	7023	302215	302829	+	b0287	yagU	COG3477	S	
14426	NP_414822.1	16128273	7023	303406	303077	-	b0288	ykgJ	COG727	R	
14427	NP_414823.2	90111108	7023	304429	303719	-	b0289	yagV			
14428	NP_414824.1	16128275	7023	306041	304398	-	b0290	yagW			
14429	NP_414825.1	16128276	7023	308556	306031	-	b0291	yagX			
14430	NP_414826.1	16128277	7023	309250	308582	-	b0292	yagY			
14431	NP_414827.1	16128278	7023	309895	309308	-	b0293	yagZ			
14432	NP_414828.1	16128279	7023	310560	309970	-	b0294	ykgK	COG2771	K	
14433	NP_414829.1	16128280	7023	311336	311563	+	b0295	ykgL		
1936249	YP_588437.1	94541137	7023	311738	311598	-	b4506	ykgO		
14434	NP_414830.1	16128281	7023	312001	311738	-	b0296	ykgM	COG254	J
7497343	YP_002791238.1	226524699	7023	312466	312365	-	b4671	ykgR		
3446150			7023	313029	312940	-	b4630	ykgP		
14435			7023	313581	314452	+	b0297	eaeH		
14436	NP_414832.2	226524700	7023	314515	314814	+	b0298	insE		
14437	NP_414833.1	16128284	7023	314811	315677	+	b0299	insF-1	COG2801	L
14438			7023	316393	315710	-	b0300	ykgA		
3446152			7023	316663	316791	+	b4631	ykgQ		
14439	NP_414835.2	90111110	7023	317543	316950	-	b0301	ykgB	COG3059	S
14441	NP_414837.2	90111111	7023	317791	317555	-	b0303	ykgI		
14442	NP_414838.2	90111112	7023	319225	317900	-	b0304	ykgC	COG1249	C
14443	NP_414839.1	16128290	7023	319451	320305	+	b0305	ykgD	COG2207	K
14444	NP_414840.1	16128291	7023	320832	321551	+	b0306	ykgE	COG247	C
14445	NP_414841.1	16128292	7023	321562	322989	+	b0307	ykgF	COG1139	C
14446	NP_414842.4	90111113	7023	322982	323677	+	b0308	ykgG	COG1556	S	
14448	NP_414844.1	16128295	7023	324588	323920	-	b0310	ykgH			
14449	NP_414845.1	16128296	7023	326471	324801	-	b0311	betA	COG2303	E	1.1.99.1
14450	NP_414846.1	16128297	7023	327957	326485	-	b0312	betB	COG1012	C	1.2.1.8
14451	NP_414847.3	49176011	7023	328558	327971	-	b0313	betI	COG1309	K	
14452	NP_414848.1	16128299	7023	328687	330720	+	b0314	betT	COG1292	M	
14453	NP_414849.1	16128300	7023	331595	332683	+	b0315	yahA	COG2200	T	3.1.4.52
14454	NP_414850.1	16128301	7023	333657	332725	-	b0316	yahB	COG583	K	
14455	NP_414851.1	16128302	7023	334246	333749	-	b0317	yahC			
14456	NP_414852.1	16128303	7023	334504	335109	+	b0318	yahD	COG666	R	
14457	NP_414853.1	16128304	7023	335149	336012	+	b0319	yahE			
14458	NP_414854.1	16128305	7023	336002	337549	+	b0320	yahF	COG74	C	
14459	NP_414855.1	16128306	7023	337549	338967	+	b0321	yahG			
14461	NP_414857.1	16128308	7023	339389	340339	+	b0323	yahI	COG549	E	2.7.2.2
