"V1"	"V2"	"V3"	"V4"
"vimss"	" 3472020"	""	"   14210"	""
"vimss"	" 3472021"	""	"   14211"	""
"vimss"	" 3472022"	""	"   14212"	""
"vimss"	" 3472023"	""	"   14213"	""
"vimss"	" 3472024"	""	"   14214"	""
"vimss"	" 3472026"	""	"   14215"	""
"vimss"	" 3472027"	""	" 1936207"	""
"vimss"	" 3472028"	""	"   14217"	""
"vimss"	" 3472029"	""	"   14218"	""
"vimss"	" 3472030"	""	"   14219"	""
"vimss"	" 3472031"	""	"   14220"	""
"vimss"	" 3472032"	""	"   14221"	""
"vimss"	" 3472033"	""	"   14222"	""
"vimss"	" 3472035"	""	" 1936210"	""
"vimss"	" 3472036"	""	"   14224"	""
"vimss"	" 3472038"	""	"   14226"	""
"vimss"	" 3472039"	""	"   14227"	""
"vimss"	" 3472040"	""	"   14228"	""
"vimss"	" 3472041"	""	"   14229"	""
"vimss"	" 3472042"	""	"   14230"	""
"vimss"	" 3472043"	"phosphoric acid"	"   14231"	"phosphoric acid"
"vimss"	" 3472044"	"phosphoric acid"	"   14232"	"phosphoric acid"
"vimss"	" 3472046"	"phosphoric acid"	"   14234"	"phosphoric acid"
"vimss"	" 3472047"	""	"   14235"	""
"vimss"	" 3472048"	""	"   14236"	""
"vimss"	" 3472049"	"alanine"	"   14237"	"alanine"
"vimss"	" 3472050"	"phosphoric acid"	"   14238"	"phosphoric acid"
"vimss"	" 3472051"	""	"   14239"	""
"vimss"	" 3472052"	""	"   14240"	""
"vimss"	" 3472053"	""	"   14241"	""
"vimss"	" 3472054"	"glutathione"	"   14242"	"glutathione"
"vimss"	" 3472055"	""	"   14243"	""
"vimss"	" 3472056"	""	"   14244"	""
"vimss"	" 3472057"	"adenosine-5-monophosphate"	"   14245"	"adenosine-5-monophosphate"
"vimss"	" 3472058"	""	"   14247"	""
"vimss"	" 3472059"	""	"   14248"	""
"vimss"	" 3472060"	""	"   14249"	""
"vimss"	" 3472061"	""	"   14250"	""
"vimss"	" 3472062"	""	"   14252"	""
"vimss"	" 3472063"	""	"   14253"	""
"vimss"	" 3472065"	""	"   14255"	""
"vimss"	" 3472066"	"alanine"	"   14256"	"alanine"
"vimss"	" 3472067"	""	"   14257"	""
"vimss"	" 3472068"	""	"   14258"	""
"vimss"	" 3472069"	"glycine"	"   14259"	""
"vimss"	" 3472070"	""	"   14260"	""
"vimss"	" 3472071"	""	"   14261"	""
"vimss"	" 3472072"	"glycine"	"   14262"	"glycine"
"vimss"	" 3472073"	""	"   14263"	""
"vimss"	" 3472074"	""	"   14264"	""
"vimss"	" 3472075"	""	"   14265"	""
"vimss"	" 3472076"	""	"   14266"	""
"vimss"	" 3472077"	"putrescine"	"   14267"	"putrescine"
"vimss"	" 3472078"	""	"   14268"	""
"vimss"	" 3472079"	""	"   14269"	""
"vimss"	" 3472080"	""	"   14270"	""
"vimss"	" 3472081"	"adenine"	"   14271"	"adenine"
"vimss"	" 3472082"	""	"   14272"	""
"vimss"	" 3472083"	""	"   14273"	""
"vimss"	" 3472084"	""	"   14274"	""
"vimss"	" 3472085"	"mannose-6-phosphate NIST"	"   14275"	"mannose-6-phosphate NIST"
"vimss"	" 3472086"	""	"   14276"	""
"vimss"	" 3472087"	"beta-alanine"	"   14277"	"beta-alanine"
"vimss"	" 3472088"	""	"   14278"	""
"vimss"	" 3472089"	"adenosine-5-monophosphate"	"   14279"	"adenosine-5-monophosphate"
"vimss"	" 3472090"	""	"   14280"	""
"vimss"	" 3472092"	""	"   14282"	""
"vimss"	" 3472095"	""	"   14286"	""
"vimss"	" 3472097"	"adenosine-5-monophosphate"	"   14288"	"adenosine-5-monophosphate"
"vimss"	" 3472098"	""	"   14289"	""
"vimss"	" 3472099"	""	"   14290"	"adenosine-5-monophosphate"
"vimss"	" 3472100"	""	"   14291"	""
"vimss"	" 3472101"	""	"   14292"	""
"vimss"	" 3472102"	""	"   14293"	""
"vimss"	" 3472103"	"adenosine-5-monophosphate"	"   14294"	"adenosine-5-monophosphate"
"vimss"	" 3472104"	""	"   14295"	""
"vimss"	" 3472106"	""	"   14296"	""
"vimss"	" 3472107"	"phosphoric acid"	"   14297"	"phosphoric acid"
"vimss"	" 3472108"	""	"   14298"	""
"vimss"	" 3472109"	""	"   14299"	""
"vimss"	" 3472110"	""	"   14300"	""
"vimss"	" 3472111"	""	"   14301"	""
"vimss"	" 3472112"	""	"   14302"	""
"vimss"	" 3472113"	""	"   14303"	""
"vimss"	" 3472114"	""	"   14304"	""
"vimss"	" 3472115"	"adenine , adenine"	"   14305"	"adenine , adenine"
"vimss"	" 3472116"	""	"   14306"	""
"vimss"	" 3472117"	""	"   14307"	""
"vimss"	" 3472118"	""	"   14308"	""
"vimss"	" 3472119"	""	"   14309"	""
"vimss"	" 3472120"	""	"   14312"	""
"vimss"	" 3472121"	""	"   14313"	""
"vimss"	" 3472122"	""	"   14314"	""
"vimss"	" 3472124"	""	"   14315"	""
"vimss"	" 3472125"	""	"   14316"	""
"vimss"	" 3472126"	""	"   14317"	""
"vimss"	" 3472127"	""	"   14318"	""
"vimss"	" 3472128"	""	"   14319"	""
"vimss"	" 3472129"	""	"   14320"	""
"vimss"	" 3472130"	""	"   14321"	""
"vimss"	" 3472131"	""	"   14322"	""
"vimss"	" 3472132"	""	"   14323"	""
"vimss"	" 3472133"	""	"   14324"	""
"vimss"	" 3472134"	"glycine"	"   14325"	"glycine"
"vimss"	" 3472135"	""	"   14326"	""
"vimss"	" 3472136"	""	"   14327"	""
"vimss"	" 3472137"	""	"   14328"	""
"vimss"	" 3472138"	""	"   14329"	""
"vimss"	" 3472139"	""	"   14330"	""
"vimss"	" 3472140"	"phosphoric acid"	"   14331"	"phosphoric acid"
"vimss"	" 3472141"	""	"   14332"	""
"vimss"	" 3472142"	""	"   14333"	"glutathione"
"vimss"	" 3472143"	"phosphoric acid"	"   14334"	"phosphoric acid"
"vimss"	" 3472144"	""	"   14335"	""
"vimss"	" 3472145"	""	" 1936225"	""
"vimss"	" 3472146"	""	"   14336"	""
"vimss"	" 3472147"	""	"   14337"	""
"vimss"	" 3472148"	""	"   14338"	""
"vimss"	" 3472150"	""	"   14339"	""
"vimss"	" 3472151"	"adenosine-5-monophosphate"	"   14340"	"adenosine-5-monophosphate"
"vimss"	" 3472152"	""	"   14341"	""
"vimss"	" 3472153"	""	"   14342"	""
"vimss"	" 3472154"	""	"   14343"	""
"vimss"	" 3472155"	""	"   14344"	""
"vimss"	" 3472156"	""	"   14345"	""
"vimss"	" 3472157"	"phosphoric acid"	"   14346"	""
"vimss"	" 3472164"	""	"   14347"	""
"vimss"	" 3472165"	""	"   14348"	""
"vimss"	" 3472166"	""	"   14349"	""
"vimss"	" 3472167"	""	"   14350"	""
"vimss"	" 3472168"	"xylose 2"	"   14351"	"xylose 2"
"vimss"	" 3472169"	"glutathione"	"   14352"	"glutathione"
"vimss"	" 3472170"	""	"   14353"	""
"vimss"	" 3472171"	""	"   14354"	""
"vimss"	" 3472172"	""	"   14355"	""
"vimss"	" 3472175"	""	"   14356"	""
"vimss"	" 3472200"	"glucose-6-phosphate 1"	"   14358"	""
"vimss"	" 3472201"	""	"   14359"	""
"vimss"	" 3472202"	""	"   14360"	""
"vimss"	" 3472203"	""	"   14361"	""
"vimss"	" 3472204"	""	"   14362"	""
"vimss"	" 3472205"	""	"   14363"	""
"vimss"	" 3472206"	""	"   14364"	""
"vimss"	" 3472207"	""	"   14365"	""
"vimss"	" 3472208"	""	"   14366"	""
"vimss"	" 3472211"	""	"   14368"	""
"vimss"	" 3472213"	""	"   14370"	""
"vimss"	" 3472214"	"glycine"	"   14373"	"glycine"
"vimss"	" 3472216"	""	"   14375"	""
"vimss"	" 3472217"	"GABA"	"   14376"	"GABA"
"vimss"	" 3472218"	"xanthine"	"   14377"	"xanthine"
"vimss"	" 3472219"	""	"   14378"	""
"vimss"	" 3472220"	""	"   14379"	""
"vimss"	" 3472221"	""	"   14380"	""
"vimss"	" 3472222"	""	"   14381"	""
"vimss"	" 3472223"	"phosphoric acid"	"   14382"	"phosphoric acid"
"vimss"	" 3472253"	""	"   14686"	""
"vimss"	" 3472300"	""	"   14432"	""
"vimss"	" 3472301"	""	" 1936249"	""
"vimss"	" 3472302"	""	"   14434"	""
"vimss"	" 3472306"	""	"   14439"	""
"vimss"	" 3472308"	""	"   14442"	""
"vimss"	" 3472310"	""	"   14443"	""
"vimss"	" 3472311"	""	"   14444"	""
"vimss"	" 3472312"	""	"   14445"	""
"vimss"	" 3472313"	""	"   14446"	""
"vimss"	" 3472314"	""	"   14448"	""
"vimss"	" 3472322"	""	"   14449"	""
"vimss"	" 3472323"	""	"   14450"	""
"vimss"	" 3472324"	""	"   14451"	""
"vimss"	" 3472325"	""	"   14452"	""
"vimss"	" 3472327"	""	"   14453"	""
"vimss"	" 3472328"	""	"   14454"	""
"vimss"	" 3472329"	""	"   14455"	""
"vimss"	" 3472331"	""	"   14456"	""
"vimss"	" 3472332"	""	"   14457"	""
"vimss"	" 3472333"	""	"   14458"	""
"vimss"	" 3472334"	""	"   14459"	""
"vimss"	" 3472335"	""	"   14461"	""
"vimss"	" 3472336"	""	"   14462"	""
"vimss"	" 3472342"	""	"   14463"	"glycerol"
"vimss"	" 3472343"	""	"   14464"	""
"vimss"	" 3472346"	""	"   14465"	""
"vimss"	" 3472347"	""	"   14466"	""
"vimss"	" 3472348"	""	"   14467"	""
"vimss"	" 3472349"	""	"   14468"	""
"vimss"	" 3472350"	"succinic acid"	"   14469"	"succinic acid"
"vimss"	" 3472351"	""	"   14471"	""
"vimss"	" 3472352"	""	"   14472"	""
"vimss"	" 3472353"	"adenosine-5-monophosphate"	"   14473"	"adenosine-5-monophosphate"
"vimss"	" 3472354"	""	"   14474"	""
"vimss"	" 3472355"	"thymine"	"   14475"	"thymine"
"vimss"	" 3472356"	""	"   14476"	""
"vimss"	" 3472357"	""	"   14477"	""
"vimss"	" 3472358"	""	"   14478"	""
"vimss"	" 3472359"	""	"   14479"	""
"vimss"	" 3472360"	""	"   14481"	""
"vimss"	" 3472361"	"galactose"	"   14482"	"galactose"
"vimss"	" 3472362"	""	"   14483"	""
"vimss"	" 3472363"	""	"   14484"	""
"vimss"	" 3472364"	"leucine"	"   14485"	"leucine"
"vimss"	" 3472365"	""	"   14486"	""
"vimss"	" 3472366"	"succinic acid"	"   14487"	""
"vimss"	" 3472367"	""	"   14488"	""
"vimss"	" 3472368"	""	"   14489"	""
"vimss"	" 3472369"	""	"   14490"	""
"vimss"	" 3472370"	""	"   14491"	""
"vimss"	" 3472371"	""	"   14492"	""
"vimss"	" 3472373"	"glutathione"	"   14493"	"glutathione"
"vimss"	" 3472374"	"glycerol"	"   14494"	"glycerol"
"vimss"	" 3472376"	""	"   14496"	""
"vimss"	" 3472378"	""	"   14501"	""
"vimss"	" 3472379"	""	"   14502"	""
"vimss"	" 3472382"	""	"   14503"	""
"vimss"	" 3472383"	"phosphoric acid"	"   14504"	""
"vimss"	" 3472384"	""	"   14505"	""
"vimss"	" 3472385"	"succinic acid"	"   14506"	"succinic acid"
"vimss"	" 3472386"	""	"   14507"	""
"vimss"	" 3472391"	""	"   14513"	""
"vimss"	" 3472392"	""	"   14514"	""
"vimss"	" 3472395"	""	"   14515"	""
"vimss"	" 3472396"	""	"   14516"	""
"vimss"	" 3472397"	""	"   14517"	""
"vimss"	" 3472398"	""	"   14518"	""
"vimss"	" 3472399"	"phosphoric acid"	"   14519"	"phosphoric acid"
"vimss"	" 3472402"	""	"   14520"	""
"vimss"	" 3472403"	"phosphoric acid"	"   14521"	"phosphoric acid"
"vimss"	" 3472405"	""	"   14523"	""
"vimss"	" 3472406"	"proline"	"   14524"	"proline"
"vimss"	" 3472407"	""	"   14525"	""
"vimss"	" 3472408"	""	"   14526"	""
"vimss"	" 3472409"	""	"   14527"	""
"vimss"	" 3472410"	""	"   14528"	""
"vimss"	" 3472412"	""	"   14530"	""
"vimss"	" 3472413"	""	"   14531"	""
"vimss"	" 3472414"	"glyceric acid"	"   14532"	""
"vimss"	" 3472415"	""	"   14534"	""
"vimss"	" 3472416"	""	"   14535"	""
"vimss"	" 3472417"	""	"   14536"	""
"vimss"	" 3472419"	""	"   14537"	""
"vimss"	" 3472420"	""	"   14538"	""
"vimss"	" 3472423"	""	"   14539"	""
"vimss"	" 3472424"	""	"   14540"	""
"vimss"	" 3472425"	""	"   14541"	""
"vimss"	" 3472426"	""	"   14542"	""
"vimss"	" 3472427"	""	"   14543"	""
"vimss"	" 3472428"	""	"   14544"	""
"vimss"	" 3472429"	""	"   14545"	""
"vimss"	" 3472430"	""	"   14546"	""
"vimss"	" 3472431"	""	"   14547"	""
"vimss"	" 3472432"	""	"   14548"	""
"vimss"	" 3472434"	""	"   14549"	""
"vimss"	" 3472435"	""	"   14550"	""
"vimss"	" 3472436"	""	"   14551"	""
"vimss"	" 3472437"	"glycerol"	"   14552"	"glycerol"
"vimss"	" 3472438"	"succinic acid"	"   14553"	"succinic acid , phosphoric acid"
"vimss"	" 3472439"	""	"   14554"	""
"vimss"	" 3472440"	""	"   14555"	""
"vimss"	" 3472441"	"phosphoric acid"	"   14556"	"phosphoric acid"
"vimss"	" 3472442"	""	"   14557"	""
"vimss"	" 3472443"	""	"   14558"	""
"vimss"	" 3472444"	""	"   14559"	""
"vimss"	" 3472445"	""	"   14560"	""
"vimss"	" 3472447"	""	"   14561"	""
"vimss"	" 3472448"	""	"   14562"	""
"vimss"	" 3472449"	""	"   14563"	""
"vimss"	" 3472450"	""	"   14564"	""
"vimss"	" 3472451"	""	"   14565"	""
"vimss"	" 3472455"	"succinic acid"	"   14566"	"succinic acid"
"vimss"	" 3472456"	""	"   14567"	""
"vimss"	" 3472457"	""	"   14568"	""
"vimss"	" 3472458"	""	"   14569"	""
"vimss"	" 3472459"	""	"   14570"	""
"vimss"	" 3472460"	""	"   14571"	""
"vimss"	" 3472461"	""	"   14572"	""
"vimss"	" 3472463"	""	"   14573"	""
"vimss"	" 3472465"	""	"   14574"	""
"vimss"	" 3472466"	""	"   14575"	""
"vimss"	" 3472467"	""	"   14576"	""
"vimss"	" 3472468"	""	"   14577"	""
"vimss"	" 3472469"	""	"   14578"	""
"vimss"	" 3472470"	""	"   14579"	""
"vimss"	" 3472471"	""	"   14580"	""
"vimss"	" 3472472"	"palmitoleic acid"	"   14581"	"palmitoleic acid"
"vimss"	" 3472473"	""	"   14582"	""
"vimss"	" 3472474"	""	"   14583"	""
"vimss"	" 3472475"	"adenosine-5-monophosphate"	"   14584"	"adenosine-5-monophosphate"
"vimss"	" 3472476"	""	"   14585"	""
"vimss"	" 3472477"	"phosphoric acid"	"   14586"	""
"vimss"	" 3472478"	"phosphoric acid"	"   14587"	""
"vimss"	" 3472479"	""	"   14588"	""
"vimss"	" 3472480"	""	"   14589"	""
"vimss"	" 3472481"	"palmitoleic acid"	"   14590"	"palmitoleic acid"
"vimss"	" 3472482"	""	"   14591"	""
"vimss"	" 3472483"	""	"   14592"	""
"vimss"	" 3472485"	""	"   14593"	"phosphoric acid"
"vimss"	" 3472486"	""	"   14594"	""
"vimss"	" 3472487"	""	"   14595"	""
"vimss"	" 3472488"	""	"   14596"	""
"vimss"	" 3472489"	""	"   14597"	""
"vimss"	" 3472490"	""	"   14598"	""
"vimss"	" 3472491"	""	"   14599"	""
"vimss"	" 3472492"	""	"   14600"	""
"vimss"	" 3472493"	""	"   14601"	""
"vimss"	" 3472494"	""	"   14602"	""
"vimss"	" 3472496"	""	"   14603"	""
"vimss"	" 3472497"	""	"   14604"	""
"vimss"	" 3472498"	""	"   14605"	""
"vimss"	" 3472499"	"adenine"	"   14606"	"adenine"
"vimss"	" 3472500"	""	"   14607"	""
"vimss"	" 3472501"	""	"   14608"	""
"vimss"	" 3472502"	""	"   14609"	""
"vimss"	" 3472503"	""	"   14610"	""
"vimss"	" 3472504"	"adenosine-5-monophosphate"	"   14611"	"adenosine-5-monophosphate"
"vimss"	" 3472505"	""	"   14612"	""
"vimss"	" 3472506"	""	"   14613"	""
"vimss"	" 3472507"	""	"   14614"	""
"vimss"	" 3472508"	""	"   14615"	""
"vimss"	" 3472509"	""	"   14616"	""
"vimss"	" 3472510"	"adenosine-5-monophosphate"	"   14617"	"adenosine-5-monophosphate"
"vimss"	" 3472511"	""	"   14618"	""
"vimss"	" 3472513"	""	"   14619"	""
"vimss"	" 3472514"	""	"   14620"	""
"vimss"	" 3472518"	""	"   14622"	""
"vimss"	" 3472519"	""	"   14623"	""
"vimss"	" 3472520"	""	"   14624"	""
"vimss"	" 3472521"	""	"   14625"	""
"vimss"	" 3472522"	""	"   14626"	""
"vimss"	" 3472523"	""	"   14627"	""
"vimss"	" 3472524"	""	"   14628"	""
"vimss"	" 3472525"	""	"   14629"	""
"vimss"	" 3472526"	""	"   14630"	""
"vimss"	" 3472527"	"palmitoleic acid"	"   14631"	"palmitoleic acid"
"vimss"	" 3472528"	""	"   14632"	""
"vimss"	" 3472529"	""	"   14633"	""
"vimss"	" 3472530"	""	"   14640"	""
"vimss"	" 3472531"	""	"   14641"	""
"vimss"	" 3472532"	""	"   14642"	""
"vimss"	" 3472533"	""	"   14643"	""
"vimss"	" 3472534"	""	"   14644"	""
"vimss"	" 3472535"	""	"   14645"	""
"vimss"	" 3472536"	"glyceric acid"	"   14646"	"glyceric acid"
"vimss"	" 3472537"	""	"   14648"	""
"vimss"	" 3472538"	""	"   14649"	""
"vimss"	" 3472539"	""	"   14650"	""
"vimss"	" 3472540"	"3-phosphoglycerate"	"   14651"	"3-phosphoglycerate"
"vimss"	" 3472542"	""	"   14652"	""
"vimss"	" 3472543"	""	"   14653"	"glucose-6-phosphate 1"
"vimss"	" 3472544"	""	"   14654"	""
"vimss"	" 3472545"	""	"   14655"	""
"vimss"	" 3472547"	""	"   14657"	""
"vimss"	" 3472548"	""	"   14658"	""
"vimss"	" 3472550"	"phosphoric acid"	"   14659"	"phosphoric acid"
"vimss"	" 3472551"	""	"   14660"	""
"vimss"	" 3472552"	"adenosine-5-monophosphate"	"   14661"	"adenosine-5-monophosphate"
"vimss"	" 3472553"	""	"   14662"	""
"vimss"	" 3472555"	""	"   14664"	""
"vimss"	" 3472556"	""	"   14666"	""
"vimss"	" 3472557"	""	"   14667"	""
"vimss"	" 3472559"	""	"   14668"	""
"vimss"	" 3472560"	""	"   14669"	""
"vimss"	" 3472561"	""	"   14670"	""
"vimss"	" 3472562"	""	"   14671"	""
"vimss"	" 3472563"	""	"   14672"	""
"vimss"	" 3472569"	""	"   14706"	""
"vimss"	" 3472571"	""	"   14708"	""
"vimss"	" 3472575"	""	"   14712"	""
"vimss"	" 3472577"	""	"   14714"	""
"vimss"	" 3472579"	""	"   14716"	""
"vimss"	" 3472580"	""	"   14717"	""
"vimss"	" 3472583"	"glycerol"	"   14719"	"glycerol"
"vimss"	" 3472584"	""	"   14720"	""
"vimss"	" 3472593"	""	"   14726"	""
"vimss"	" 3472606"	""	"   14739"	""
"vimss"	" 3472611"	""	"   14744"	""
"vimss"	" 3472612"	""	"   14745"	""
"vimss"	" 3472614"	""	"   14748"	""
"vimss"	" 3472617"	""	"   14751"	""
"vimss"	" 3472622"	""	"   14756"	""
"vimss"	" 3472627"	""	"   14760"	""
"vimss"	" 3472628"	""	"   14761"	""
"vimss"	" 3472642"	"phosphoric acid"	"   14775"	""
"vimss"	" 3472644"	""	"   14777"	""
"vimss"	" 3472646"	"adenosine-5-monophosphate"	"   14779"	"adenosine-5-monophosphate"
"vimss"	" 3472647"	""	"   14780"	""
"vimss"	" 3472648"	""	"   14788"	""
"vimss"	" 3472650"	""	"   14790"	""
"vimss"	" 3472653"	""	"   14792"	""
"vimss"	" 3472656"	"glycine"	"   14794"	"glycine"
"vimss"	" 3472657"	""	"   14795"	""
"vimss"	" 3472658"	""	"   14796"	""
"vimss"	" 3472659"	""	"   14797"	""
"vimss"	" 3472660"	""	"   14798"	""
"vimss"	" 3472661"	"leucine"	"   14799"	"leucine"
"vimss"	" 3472669"	"adenosine-5-monophosphate"	"   14804"	"adenosine-5-monophosphate"
"vimss"	" 3472671"	""	"   14805"	""
"vimss"	" 3472672"	""	"   14806"	""
"vimss"	" 3472673"	""	"   14807"	""
"vimss"	" 3472674"	""	"   14808"	""
"vimss"	" 3472675"	"mannose-6-phosphate NIST"	"   14809"	"mannose-6-phosphate NIST"
"vimss"	" 3472677"	"adenosine-5-monophosphate"	"   14810"	"adenosine-5-monophosphate"
"vimss"	" 3472680"	""	"   14812"	""
"vimss"	" 3472681"	""	"   14813"	""
"vimss"	" 3472682"	""	"   14814"	""
"vimss"	" 3472683"	""	"   14815"	""
"vimss"	" 3472684"	""	"   14816"	""
"vimss"	" 3472685"	""	"   14817"	""
"vimss"	" 3472686"	"glucose-6-phosphate 1"	"   14818"	"glucose-6-phosphate 1"
"vimss"	" 3472688"	""	"   14819"	""
"vimss"	" 3472692"	""	"   14826"	""
"vimss"	" 3472693"	""	"   14827"	""
"vimss"	" 3472694"	"phosphoric acid"	"   14828"	"phosphoric acid"
"vimss"	" 3472695"	"phosphoric acid"	"   14829"	"phosphoric acid"
"vimss"	" 3472696"	"phosphoric acid"	"   14830"	"phosphoric acid"
"vimss"	" 3472698"	""	"   14832"	""
"vimss"	" 3472701"	""	"   14836"	""
"vimss"	" 3472704"	""	"   14838"	""
"vimss"	" 3472705"	""	"   14839"	""
"vimss"	" 3472706"	""	"   14840"	""
"vimss"	" 3472708"	""	"   14841"	""
"vimss"	" 3472709"	""	"   14842"	""
"vimss"	" 3472710"	""	"   14843"	""
"vimss"	" 3472711"	""	"   14844"	""
"vimss"	" 3472712"	""	"   14845"	""
"vimss"	" 3472713"	""	"   14846"	""
"vimss"	" 3472714"	""	"   14847"	""
"vimss"	" 3472715"	""	"   14848"	""
"vimss"	" 3472716"	""	"   14849"	""
"vimss"	" 3472717"	""	"   14850"	""
"vimss"	" 3472718"	""	"   14851"	""
"vimss"	" 3472719"	""	"   14852"	""
"vimss"	" 3472720"	"succinic acid"	"   14853"	"succinic acid"
"vimss"	" 3472721"	"succinic acid"	"   14854"	"succinic acid"
"vimss"	" 3472722"	"succinic acid"	"   14855"	"succinic acid"
"vimss"	" 3472723"	"succinic acid"	"   14856"	"succinic acid"
"vimss"	" 3472724"	""	"   14858"	""
"vimss"	" 3472725"	""	"   14859"	""
"vimss"	" 3472726"	"phosphoric acid"	"   14860"	"phosphoric acid"
"vimss"	" 3472727"	"phosphoric acid"	"   14861"	"phosphoric acid"
"vimss"	" 3472728"	""	"   14862"	""
"vimss"	" 3472729"	"mannose-6-phosphate NIST"	"   14863"	"mannose-6-phosphate NIST"
"vimss"	" 3472736"	""	"   14865"	""
"vimss"	" 3472737"	""	"   14866"	""
"vimss"	" 3472738"	""	" 1936336"	""
"vimss"	" 3472739"	""	"   14867"	""
"vimss"	" 3472740"	"palmitoleic acid"	"   14868"	"palmitoleic acid"
"vimss"	" 3472741"	""	"   14869"	""
"vimss"	" 3472742"	""	"   14870"	""
"vimss"	" 3472745"	""	"   14873"	""
"vimss"	" 3472746"	""	"   14874"	""
"vimss"	" 3472754"	"phosphoric acid"	"   14875"	"phosphoric acid"
"vimss"	" 3472755"	""	"   14876"	""
"vimss"	" 3472756"	""	"   14877"	""
"vimss"	" 3472757"	""	"   14878"	""
"vimss"	" 3472758"	"phosphoric acid"	"   14879"	"phosphoric acid"
"vimss"	" 3472759"	"3-phosphoglycerate"	"   14880"	"3-phosphoglycerate"
"vimss"	" 3472760"	""	"   14881"	""
"vimss"	" 3472761"	"galactose"	"   14882"	"galactose"
"vimss"	" 3472762"	""	"   14883"	""
"vimss"	" 3472763"	""	"   14884"	""
"vimss"	" 3472764"	""	"   14885"	""
"vimss"	" 3472765"	""	"   14886"	""
"vimss"	" 3472766"	""	"   14887"	""
"vimss"	" 3472767"	""	"   14888"	""
"vimss"	" 3472768"	""	"   14889"	""
"vimss"	" 3472769"	"phosphoric acid"	"   14890"	"phosphoric acid"
"vimss"	" 3472770"	"phosphoric acid"	"   14891"	""
"vimss"	" 3472771"	""	"   14892"	""
"vimss"	" 3472773"	""	"   14894"	""
"vimss"	" 3472774"	""	"   14895"	""
"vimss"	" 3472775"	""	"   14896"	""
"vimss"	" 3472776"	""	"   14897"	""
"vimss"	" 3472777"	""	"   14898"	""
"vimss"	" 3472778"	""	"   14899"	""
"vimss"	" 3472779"	"methionine"	"   14900"	"methionine"
"vimss"	" 3472780"	"alanine"	"   14901"	"alanine"
"vimss"	" 3472781"	""	"   14902"	""
"vimss"	" 3472782"	"phosphoric acid"	"   14903"	"phosphoric acid"
"vimss"	" 3472783"	""	"   14904"	""
"vimss"	" 3472784"	""	"   14905"	""
"vimss"	" 3472785"	""	"   14906"	""
"vimss"	" 3472786"	""	"   14907"	""
"vimss"	" 3472787"	""	"   14908"	""
"vimss"	" 3472788"	""	"   14909"	""
"vimss"	" 3472789"	""	"   14910"	""
"vimss"	" 3472790"	""	"   14911"	""
