	log2(ratio)	p-value	SD test	SD ref
palmitoleic acid	-1.192448619	0.368917848	0.015277111	0.028754058
pelargonic acid	-0.581666323	0.616530141	0.00391162	0.006807161
phenylalanine	-0.535279635	0.625881773	0.017369636	0.023531445
phenylalanine TMS1x	-0.537361467	0.719249177	0.003033134	0.006012497
phenylpyruvic acid	0.110040041	0.939626764	0.075468085	0.078668716
phosphoethanolamine	-0.762677676	0.326820746	0.003912385	0.005775299
phosphoric acid	-0.688589475	0.218766561	0.010136942	0.016661335
proline	0.275002843	0.807992052	0.018159289	0.021561528
pseudo uridine	-0.458131252	0.445725775	0.005801158	0.010051697
putrescine	-0.788203683	0.50686403	0.02855963	0.031915528
putrescine 3TMS	-0.494606089	0.470959533	0.019774114	0.002070982
putrescine CO2 adduct	-0.638119175	0.642141951	0.017380058	0.015498236
"pyrazine 2,5-dihydroxy  NIST"	-0.581766072	0.46425184	0.035862792	0.02248154
pyrophosphate 1	-0.508148808	0.228007007	0.005964701	0.01496052
rhamnose 1	-0.360535579	0.409413806	0.001699268	0.001069045
serine	0.449554614	0.736993715	0.055932008	0.065739677
sorbose meox2	0.023972222	0.98657779	0.010182702	0.004452237
stearic acid	0.38172469	0.552485714	0.018049484	0.004856324
succinic acid	-0.75552382	0.449215044	0.00245609	0.003783965
threitol 2	-0.739235768	0.490335596	0.010035263	0.014726322
threonine	-1.149147387	0.435472615	0.013933048	0.032994788
threonine 2TMS	-1.656021797	0.437849739	0.003961367	0.023719777
thymine	-1.04563737	0.384834321	0.00790537	0.028853041
"triethylamine, 2-chloro-2'-(trimethyl)silyloxy-"	-0.413718282	0.40420203	0.018660837	0.012728691
tryosine	-0.362758499	0.726615959	0.015388676	0.017675358
tyrosine	-0.393586449	0.71627	0.012413538	0.013815723
urea	-0.082548712	0.953092925	0.042327287	0.039479627
valine	-0.353357533	0.742495937	0.010929923	0.013126278
valine TMS1x poor spec quality	-1.143742708	0.500053437	0.00463064	0.018119906
xanthine	-0.188267232	0.873543793	0.055448496	0.05740436
xylose 2	-0.511867837	0.326804962	0.001464025	0.000500993
